source,target
İlerleyen zamanlar da belkide insanlar için makineler birer arkadaş yerin de geçebilecektir.,İlerleyen zamanlarda belki de insanlar için makineler birer arkadaş yerinde geçebilecektir.
Bunun gerçekleşebilmesi için cümlenin ifa de ettiği duyguyu bulabilmek gerekir.,Bunun gerçekleşebilmesi için cümlenin ifade ettiği duyguyu bulabilmek gerekir.
İyiyim bende çok şükür.,İyiyim ben de çok şükür.
Yalova da sağanak yağış bekleniyor.,Yalova'da sağanak yağış bekleniyor.
Bir şeydende eksik kalsan olmaz mı?,Bir şeyden de eksik kalsan olmaz mı?
Telefondanda oturum açabilirsiniz.,Telefondan da oturum açabilirsiniz.
Biz yürüyerekte dönebiliriz.,Biz yürüyerek de dönebiliriz.
Bura da senin paran geçmez.,Burada senin paran geçmez.
İnsanlar giderek makinelerle daha fazla etkileşime girmektedir.,İnsanlar giderek makinelerle daha fazla etkileşime girmektedir.
Sonradan düşününce aslın da iyi yapmışız.,Sonradan düşününce aslında iyi yapmışız.
Gerçekleri tarih yazar tarihide Galatasaray.,Gerçekleri tarih yazar tarihi de Galatasaray.
Bende gelmek istiyordum.,Ben de gelmek istiyordum.
"""Ben gülerken güler, ağlarkende ağlardı.""","""Ben gülerken güler, ağlarken de ağlardı."""
Sadece hastalandığım da arıyorsun.,Sadece hastalandığımda arıyorsun.
Bir ben var ben de benden içeri.,Bir ben var bende benden içeri.
Kralıda gelse o kılıcı oradan çıkaramaz.,Kralı da gelse o kılıcı oradan çıkaramaz.
Hayaller de yaşıyor bazı arkadaşlar.,Hayallerde yaşıyor bazı arkadaşlar.
Makinelerle insanların etkileşiminin önemi filmler aracılığıylada görülmektedir.,Makinelerle insanların etkileşiminin önemi filmler aracılığıyla da görülmektedir.
Bu küçükkende çok yaramazdı.,Bu küçükken de çok yaramazdı.
Sözlük tabanlı yaklaşım ise sınıflandırma sırasın da önceden hazırlanmış duygu kavramlarından oluşan sözlüklerden yararlanmaktadır.,Sözlük tabanlı yaklaşım ise sınıflandırma sırasında önceden hazırlanmış duygu kavramlarından oluşan sözlüklerden yararlanmaktadır.
Diplomasi de yanlış çeviri krizi nasıl ortaya çıktı?,Diplomaside yanlış çeviri krizi nasıl ortaya çıktı?
Alpaslan Burak Eliaçık ve Nadia Erdoğan bu makale de anlatılan çalışmaya benzer duygu analizi çalışmasından bahsetmişlerdir[7].,Alpaslan Burak Eliaçık ve Nadia Erdoğan bu makalede anlatılan çalışmaya benzer duygu analizi çalışmasından bahsetmişlerdir[7].
Hatayı birazda kendinde aramak gerek.,Hatayı biraz da kendinde aramak gerek.
O kız seni sevmesede farketmez.,O kız seni sevmese de farketmez.
Uğraştırdı biraz ama en sonun da bitti.,Uğraştırdı biraz ama en sonunda bitti.
Irak ta gündem referandum.,Irak'ta gündem referandum.
İncelemeler sırasın da gözden kaçmış sanırım.,İncelemeler sırasında gözden kaçmış sanırım.
Gelecekleri varsa görecekleride var.,Gelecekleri varsa görecekleri de var.
Kendin hakkında konuşmak kendini gizlemenin bir yoluda olabilir.,Kendin hakkında konuşmak kendini gizlemenin bir yolu da olabilir.
Dönerken evede uğrayalım mı?,Dönerken eve de uğrayalım mı?
Yanınızda kitapta getirebilirsiniz.,Yanınızda kitap ta getirebilirsiniz.
Olsun oda seni sevmiyordu zaten.,Olsun o da seni sevmiyordu zaten.
Alabiliyorsanız gelinde alın bakalım.,Alabiliyorsanız geli de alın bakalım.
"Karar destek sistemleri, günümüz de önemli bir konu olmuştur.","Karar destek sistemleri, günümüzde önemli bir konu olmuştur."
Disk de hiç boş yer kalmamış.,Diskte hiç boş yer kalmamış.
Bu çalışmaya göre duygu sınıflandırması yöntemi iki ana dala ayrılmaktadır; makine öğrenmesi tabanlı yaklaşım ve sözlük tabanlı yaklaşım.,Bu çalışmaya göre duygu sınıflandırması yöntemi iki ana dala ayrılmaktadır; makine öğrenmesi tabanlı yaklaşım ve sözlük tabanlı yaklaşım.
Bu adam öyle çokta kötü bir adam değil.,Bu adam öyle çok da kötü bir adam değil.
O kötü günlerim de hep yanımdaydı.,O kötü günlerimde hep yanımdaydı.
Baba benide okula gönder.,Baba beni de okula gönder.
Küçükkende çok yaramazdı bu.,Küçükken de çok yaramazdı bu.
Deplasman da alınan 1 puan önemliydi.,Deplasmanda alınan 1 puan önemliydi.
"Giriş bölümün de kelime işlemeyle ilgili bahsedilen çalışmaların yanında, cümleden anlam ve duygu çıkarılabilmesine yönelik çalışmalarda günümüz de ihtiyaç haline gelmiştir.","Giriş bölümünde kelime işlemeyle ilgili bahsedilen çalışmaların yanında, cümleden anlam ve duygu çıkarılabilmesine yönelik çalışmalar da günümüzde ihtiyaç haline gelmiştir."
Küçük işletmelerde ekonominin önemli bir parçasıdır.,Küçük işletmeler de ekonominin önemli bir parçasıdır.
Düzeni yıkanda biziz sonra onu geri getirmeye çalışanda biziz.,Düzeni yıka da biziz sonra onu geri getirmeye çalışan da biziz.
Dahada Davos'a gelmem.,Daha da Davos'a gelmem.
Bende performansımla buraya layık olmaya çalışıyorum.,Ben de performansımla buraya layık olmaya çalışıyorum.
"Cümlelerden oluşan metinleri, cümleden çıkarılan anlama göre işleyebilen sistemler, istenilen alan da hem analitik sonuçlar el de etmeye yarayacak hemde gelecekle ilgili yapılacak tahminlere olanak sağlayacaktır.","Cümlelerden oluşan metinleri, cümleden çıkarılan anlama göre işleyebilen sistemler, istenilen alanda hem analitik sonuçlar elde etmeye yarayacak hem de gelecekle ilgili yapılacak tahminlere olanak sağlayacaktır."
Hadi birazda kardeşin oynasın.,Haydi biraz da kardeşin oynasın.
Biz cevabımızı saha da vermek istiyoruz.,Biz cevabımızı sahada vermek istiyoruz.
Belgenin aslınıda getirmen gerekiyor.,Belgenin aslını da getirmen gerekiyor.
Otobüs gelmiş durak da durmuş.,Otobüs gelmiş durakta durmuş.
Aramıza Ahmet te katıldı.,Aramıza Ahmet de katıldı.
Bunlar sabaha kadarda oynasalar bu maçta gol olmaz.,Bunlar sabaha kadar da oynasalar bu maçta gol olmaz.
Rahmetlide çok severdi bu şarkıyı.,Rahmetli de çok severdi bu şarkıyı.
Yediğinde içtiğinde senin olsun bize gördüklerini anlat.,Yediğin de içtiğin de senin olsun bize gördüklerini anlat.
Meteoroloji de büyük değişiklik gündemde.,Meteorolojide büyük değişiklik gündemde.
Maça iyide başlamıştık aslında ama olmadı.,Maça iyi de başlamıştık aslında ama olmadı.
Tıp alanından örnekler verilebilir.,Tıp alanından örnekler verilebilir.
Ankara emniyet de tanıdıklarım var.,Ankara emniyette tanıdıklarım var.
Bir tenha da can cananı bulunca.,Bir tenhada can cananı bulunca.
Akıl yaş da değil baştadır.,Akıl yaşta değil baştadır.
Anahtarları piknik te kaybetmiş.,Anahtarları piknikte kaybetmiş.
Ya ders çalış yada çık dışarda oyna.,Ya ders çalış ya da çık dışarda oyna.
Gözlerin de boş bir bakış var.,Gözlerinde boş bir bakış var.
Pantalonumdan sonra ayakkabımda yırtılmış.,Pantalonumdan sonra ayakkabım da yırtılmış.
Makinelerle insanlar arasındaki savaş veya makinelerle insanların sesli iletişim kurduğu filmler oldukça ilgi çekmektedir.,Makinelerle insanlar arasındaki savaş veya makinelerle insanların sesli iletişim kurduğu filmler oldukça ilgi çekmektedir.
Bugün fırıncı da kavga çıkmış.,Bugün fırıncıda kavga çıkmış.
Gömleğin önünüde iliklersen iyi olur.,Gömleğin önünü de iliklersen iyi olur.
Dükkanın önün de durma kardeşim.,Dükkanın önünde durma kardeşim.
İçeriyle dışarının çokta bir farkı yok.,İçeriyle dışarının çok da bir farkı yok.
Bir kerede önce sen arasan olmaz mı?,Bir kere de önce sen arasan olmaz mı?
Babam geldiğin de gidelim.,Babam geldiğinde gidelim.
Makine öğrenme tabanlı yaklaşım sınıflandırma sırasın da makine öğrenme algoritmalarını ve dilbilimsel özellikleri kullanmaktadır.,Makine öğrenme tabanlı yaklaşım sınıflandırma sırasında makine öğrenme algoritmalarını ve dilbilimsel özellikleri kullanmaktadır.
Merak edenler için Batuhan kahve de batak oynuyor.,Merak edenler için Batuhan kahvede batak oynuyor.
Gece gölgenin rahatına bak birde dön kaderimin bahtına yar.,Gece gölgenin rahatına bak bir de dön kaderimin bahtına yar.
Sinem de gizli yara var kimse bilmiyor.,Sinem'de gizli yara var kimse bilmiyor.
Orasıda çok bozdu artık.,Orası da çok bozdu artık.
31 yaşındayım bunada fotoşop deyin.,31 yaşındayım buna da fotoşop deyin.
İnsanın bazen çıkıp gezmeside gerekiyor.,İnsanın bazen çıkıp gezmesi de gerekiyor.
Cümlelerin işlenebilmesi karar destek sistemleri oluşturma konusunada yardımcı olacaktır.,Cümlelerin işlenebilmesi karar destek sistemleri oluşturma konusuna da yardımcı olacaktır.
Yavaştan bende gideyim artık.,Yavaştan ben de gideyim artık.
Olsun demekte zor artık.,Olsun demek de zor artık.
Vapur da boş yer kalmamış.,Vapurda boş yer kalmamış.
Sonunda bizde derin öğrenmeye geçtik.,Sonunda biz de derin öğrenmeye geçtik.
Bazı çalışmalar da ise bu iki yönelimin melez bir yaklaşımı kullanılmaktadır.,Bazı çalışmalarda ise bu iki yönelimin melez bir yaklaşımı kullanılmaktadır.
Bence daha iyide olabilirdi.,Bence daha iyi de olabilirdi.
Ev de yağ kalmamış.,Evde yağ kalmamış.
Küçük düşünüp te iş yapma.,Küçük düşünüp de iş yapma.
Başkanım benide alsana yanına.,Başkanım beni de alsana yanına.
Yerinede birini bul öyle git bari.,Yerine de birini bul öyle git bari.
"""Burak Yılmaz, Finlandiya maçı kadrosun da yok.""","""Burak Yılmaz, Finlandiya maçı kadrosunda yok."""
Saatleri uyarsa bende gelebilirim.,Saatleri uyarsa ben de gelebilirim.
Çünkü dikkat etmiyorsunda ondan oluyor.,Çünkü dikkat etmiyorsun da ondan oluyor.
Kimselerede bakmadım senden daha güzel.,Kimselere de bakmadım senden daha güzel.
Gitmesekde görmesekde o köy bizimdir.,Gitmesek de görmesek de o köy bizimdir.
Güzel işler de yarışın.,Güzel işlerde yarışın.
