source,target
İçeriyle dışarının çokta bir farkı yok.,İçeriyle dışarının çok da bir farkı yok.
Sinem de gizli yara var kimse bilmiyor.,Sinem'de gizli yara var kimse bilmiyor.
Ankara emniyet de tanıdıklarım var.,Ankara emniyette tanıdıklarım var.
Alabiliyorsanız gelinde alın bakalım.,Alabiliyorsanız geli de alın bakalım.
Sende başını alıp gitme ne olur.,Sen de başını alıp gitme ne olur.
Bu öncekindende kötü çıktı.,Bu öncekinden de kötü çıktı.
Bugün fırıncı da kavga çıkmış.,Bugün fırıncıda kavga çıkmış.
Rahmetlide çok severdi bu şarkıyı.,Rahmetli de çok severdi bu şarkıyı.
Deplasman da alınan 1 puan önemliydi.,Deplasmanda alınan 1 puan önemliydi.
Biz yürüyerekte dönebiliriz.,Biz yürüyerek de dönebiliriz.
Küçükkende çok yaramazdı bu.,Küçükken de çok yaramazdı bu.
Felsefe tarihin de okunacak çok eser var.,Felsefe tarihinde okunacak çok eser var.
Orasıda çok bozdu artık.,Orası da çok bozdu artık.
Dükkanın önün de durma kardeşim.,Dükkanın önünde durma kardeşim.
Gömleğin önünüde iliklersen iyi olur.,Gömleğin önünü de iliklersen iyi olur.
İyiside var kötüsüde.,İyisi de var kötüsü de.
Disk de hiç boş yer kalmamış.,Diskte hiç boş yer kalmamış.
Belgenin aslınıda getirmen gerekiyor.,Belgenin aslını da getirmen gerekiyor.
Sonradan düşününce aslın da iyi yapmışız.,Sonradan düşününce aslında iyi yapmışız.
20. yüzyılın belkide en büyük buluşu olabilir.,20. yüzyılın belki de en büyük buluşu olabilir.
Dönerken evede uğrayalım mı?,Dönerken eve de uğrayalım mı?
Kendin hakkında konuşmak kendini gizlemenin bir yoluda olabilir.,Kendin hakkında konuşmak kendini gizlemenin bir yolu da olabilir.
Gelirken bir kiloda şeker al.,Gelirken bir kilo da şeker al.
31 yaşındayım bunada fotoşop deyin.,31 yaşındayım buna da fotoşop deyin.
Ya bu deveyi güdersin yada bu diyardan gidersin.,Ya bu deveyi güdersin ya da bu diyardan gidersin.
Gitmesekde görmesekde o köy bizimdir.,Gitmesek de görmesek de o köy bizimdir.
Bende özledim bende resmin var şu an elimde.,Ben de özledim ben de resmin var şu an elimde.
O kız seni sevmesede farketmez.,O kız seni sevmese de farketmez.
Küçük düşünüp te iş yapma.,Küçük düşünüp de iş yapma.
"""Ben gülerken güler, ağlarkende ağlardı.""","""Ben gülerken güler, ağlarken de ağlardı."""
Yerinede birini bul öyle git bari.,Yerine de birini bul öyle git bari.
Onun gibi sende bir kere denesen ne olur sanki?,Onun gibi sen de bir kere denesen ne olur sanki?
Otobüs gelmiş durak da durmuş.,Otobüs gelmiş durakta durmuş.
Bir ip de 2 cambaz oynamaz.,Bir ipte 2 cambaz oynamaz.
Akıl yaş da değil baştadır.,Akıl yaşta değil baştadır.
Gözlerin de boş bir bakış var.,Gözlerinde boş bir bakış var.
Maça iyide başlamıştık aslında ama olmadı.,Maça iyide başlamıştık aslında ama olmadı.
Vapur da boş yer kalmamış.,Vapur da boş yer kalmamış.
Ağaç dibin de mantarlar çıkmış.,Ağaç dibin de mantarlar çıkmış.
Yediğinde içtiğinde senin olsun bize gördüklerini anlat.,Yediğinde içtiğinde senin olsun bize gördüklerini anlat.
Pantalonumdan sonra ayakkabımda yırtılmış.,Pantalonumdan sonra ayakkabımda yırtılmış.
Bir ben var ben de benden içeri.,Bir ben var ben de benden içeri.
Bir kerede önce sen arasan olmaz mı?,Bir kerede önce sen arasan olmaz mı?
Sonunda bizde derin öğrenmeye geçtik.,Sonunda bizde derin öğrenmeye geçtik.
Düzeni yıkanda biziz sonra onu geri getirmeye çalışanda biziz.,Düzeni yıkanda biziz sonra onu geri getirmeye çalışanda biziz.
Telefondanda oturum açabilirsiniz.,Telefondanda oturum açabilirsiniz.
Hayaller de yaşıyor bazı arkadaşlar.,Hayaller de yaşıyor bazı arkadaşlar.
Diğer menüde tatlıda vardı.,Diğer menüde tatlıda vardı.
Merak edenler için Batuhan kahve de batak oynuyor.,Merak edenler için Batuhan kahve de batak oynuyor.
Yalnız fotoğraflarda fön makinesiyle çekilmiş gibiymiş.,Yalnız fotoğraflarda fön makinesiyle çekilmiş gibiymiş.
Hadi birazda kardeşin oynasın.,Hadi birazda kardeşin oynasın.
Biz cevabımızı saha da vermek istiyoruz.,Biz cevabımızı saha da vermek istiyoruz.
Gerçekleri tarih yazar tarihide Galatasaray.,Gerçekleri tarih yazar tarihide Galatasaray.
Olsun demekte zor artık.,Olsun demekte zor artık.
Gece gölgenin rahatına bak birde dön kaderimin bahtına yar.,Gece gölgenin rahatına bak birde dön kaderimin bahtına yar.
Kimselerede bakmadım senden daha güzel.,Kimselerede bakmadım senden daha güzel.
Olsun oda seni sevmiyordu zaten.,Olsun oda seni sevmiyordu zaten.
Uğraştırdı biraz ama en sonun da bitti.,Uğraştırdı biraz ama en sonun da bitti.
